zipcode,number_registration
98418.0,38
98605.0,4
98541.0,27
98862.0,26
98638.0,11
99022.0,15
98557.0,16
98568.0,13
98305.0,3
99403.0,23
98444.0,84
98443.0,29
98239.0,101
98349.0,32
98590.0,3
98672.0,76
98675.0,27
98294.0,48
98631.0,16
98365.0,70
98380.0,50
98499.0,129
98249.0,72
98650.0,13
98674.0,94
98528.0,54
98371.0,168
98823.0,25
98382.0,247
98812.0,7
98936.0,10
99163.0,91
98849.0,4
98601.0,15
99021.0,36
98329.0,114
98007.0,484
99027.0,26
98402.0,85
99357.0,8
99114.0,23
99037.0,56
98903.0,33
99324.0,21
98203.0,272
98940.0,18
98596.0,21
98275.0,362
98148.0,87
98579.0,51
98262.0,19
98550.0,24
98841.0,7
98087.0,333
98902.0,60
99204.0,31
98632.0,172
99336.0,109
98362.0,132
98588.0,11
98236.0,120
98424.0,96
98024.0,160
98188.0,171
98620.0,20
98168.0,205
98279.0,25
98801.0,164
98252.0,48
98663.0,112
98848.0,24
99350.0,19
98640.0,36
98338.0,166
99025.0,12
98251.0,26
99224.0,133
98576.0,34
98070.0,352
98407.0,330
99353.0,97
98282.0,197
98577.0,18
98524.0,43
98273.0,152
98580.0,87
98126.0,414
98043.0,190
99004.0,71
98292.0,170
98223.0,240
98922.0,80
98146.0,287
98843.0,22
98005.0,647
98201.0,198
98366.0,226
99202.0,58
99218.0,37
98625.0,47
98648.0,34
98372.0,183
99320.0,32
98606.0,138
98626.0,83
98466.0,260
98226.0,349
98383.0,195
98045.0,348
98134.0,82
98248.0,153
98250.0,177
98503.0,279
98283.0,1
98465.0,65
98037.0,250
98101.0,338
98020.0,451
98014.0,224
98208.0,440
98327.0,94
98055.0,290
99019.0,92
98003.0,232
98367.0,282
98802.0,121
98057.0,160
98028.0,507
99338.0,153
98664.0,211
98346.0,162
98247.0,37
98531.0,94
98433.0,48
98589.0,57
99354.0,157
98937.0,9
98520.0,77
98516.0,315
98312.0,244
98033.0,911
98642.0,321
98178.0,252
99206.0,112
98121.0,408
98363.0,65
98290.0,380
98404.0,111
98204.0,167
98310.0,126
98390.0,82
98019.0,319
98270.0,273
98117.0,728
99212.0,109
98597.0,160
98446.0,60
98198.0,228
98563.0,36
98260.0,131
98684.0,228
98264.0,104
98683.0,366
98107.0,546
98944.0,25
98467.0,185
98405.0,122
98056.0,532
98115.0,887
99337.0,113
98021.0,598
98370.0,353
99009.0,17
99026.0,52
98230.0,202
98058.0,482
99223.0,192
98532.0,90
98144.0,579
98368.0,283
98092.0,413
98102.0,432
98103.0,826
99005.0,54
98221.0,352
98042.0,440
98926.0,108
98065.0,479
98059.0,690
98136.0,372
98074.0,855
98036.0,470
98199.0,595
98245.0,111
98233.0,92
98660.0,138
98026.0,527
98360.0,103
98022.0,151
98011.0,516
99217.0,57
98006.0,871
98604.0,279
98445.0,116
98498.0,193
98002.0,126
98584.0,195
98512.0,250
98422.0,283
98665.0,221
98661.0,324
98272.0,260
98831.0,24
98826.0,101
98303.0,13
99203.0,164
98815.0,35
98685.0,384
98109.0,510
99208.0,221
98027.0,716
99352.0,283
98031.0,347
99207.0,87
98040.0,920
99201.0,65
98004.0,917
98038.0,509
98053.0,770
98032.0,233
98104.0,348
99362.0,168
99205.0,80
99216.0,60
98546.0,35
98284.0,109
98335.0,403
98662.0,228
98671.0,254
98682.0,420
98686.0,254
98629.0,97
98277.0,229
98271.0,195
98837.0,103
98624.0,8
98387.0,195
98232.0,61
98225.0,403
98908.0,129
98177.0,598
98206.0,1
98155.0,540
98942.0,40
98513.0,287
98953.0,9
98112.0,771
98125.0,629
98122.0,630
98166.0,335
98501.0,565
98403.0,109
98506.0,238
98023.0,385
98373.0,185
98502.0,437
98409.0,160
98375.0,164
98607.0,533
98406.0,232
98008.0,678
98010.0,104
98391.0,486
98012.0,865
98333.0,132
98374.0,362
99301.0,221
98106.0,347
98321.0,121
98105.0,660
98110.0,757
98116.0,569
99016.0,91
98118.0,590
98075.0,782
98119.0,486
98072.0,867
98133.0,525
98332.0,334
98052.0,1074
98229.0,411
98034.0,809
98258.0,440
98274.0,153
98030.0,211
98108.0,291
98296.0,450
98311.0,169
98029.0,707
98039.0,240
98001.0,316
